vname,mean
tau.753,8.835482835
tau.754,3.49338438515
tau.755,22.267264505
tau.756,9.4647775
tau.757,7.09584541
tau.758,28.46510095
tau.759,14.151014126
tau.760,8.5124562015
tau.761,16.890129465
tau.762,3.7154213205
tau.763,15.33279713
tau.764,7.8686070395
tau.765,19.45628071
tau.766,16.275873371
tau.767,3.1007147582
tau.768,9.72767369
tau.769,7.4373402375
tau.770,17.0857194
tau.771,8.052209472
tau.772,28.00428277
tau.773,12.931050478
tau.774,1.1927280072
tau.775,8.5859151815
tau.776,13.056961525
tau.777,4.124302451
tau.778,4.86162384175
tau.779,6.7021201545
tau.780,4.830293638
tau.781,7.407620628
tau.782,7.6772322395
tau.783,8.6768961405
tau.784,14.90339671
tau.785,4.76838811365
tau.786,11.0921046425
tau.787,8.724949165
tau.788,9.97002035
tau.789,10.48857089
tau.790,4.58325987
tau.791,9.348581007
tau.792,20.022741145
tau.793,11.2590148405
tau.794,16.763477545
tau.795,3.837737798
tau.796,13.04981931
tau.797,5.3458523165
tau.798,8.220280186
tau.799,5.3231367925
tau.800,6.8655051985
tau.801,5.254910917
tau.802,11.016336865
tau.803,5.11932423555
tau.804,22.3592102
tau.805,12.841404635
tau.806,7.5142935005
tau.807,21.177326195
tau.808,13.2477417265
tau.809,15.699968545
tau.810,6.9602536595
tau.811,8.51563438
tau.812,5.113589744
tau.813,10.259860729
tau.814,7.0231839925
tau.815,21.437290855
tau.816,6.620313993
tau.817,4.474412062
tau.818,12.114153825
tau.819,10.25056168
tau.820,4.5227657764
tau.821,9.0896720565
tau.822,3.638814661
tau.823,12.149454775
tau.824,2.4416712583
tau.825,8.20206453
tau.826,4.644958262
tau.827,8.88177126
tau.828,11.75267598
tau.829,12.160977715
tau.830,4.3630084195
tau.831,3.495801301
tau.832,5.5930196895
tau.833,5.197516256
tau.834,5.891867938
tau.835,11.735535643
tau.836,15.80126731
tau.837,5.6215382215
tau.838,4.344192614
tau.839,2.7397572328
tau.840,4.658745418
tau.841,2.28789445625
tau.842,20.688941465
tau.843,1.33582991668
tau.844,22.46672857
tau.845,6.4408374875
tau.846,11.5634516855
tau.847,15.640452745
tau.848,9.2449907655
tau.849,10.281228215
tau.850,9.356082135
tau.851,10.467187625
tau.852,5.5628017515
tau.853,2.51646065405
tau.854,3.7712359042
tau.855,28.18272514
tau.856,5.5274793075
tau.857,22.101236382
tau.858,5.1167399652
tau.859,4.31386085205
tau.860,4.7205777275
tau.861,9.587734054
tau.862,7.68322728
tau.863,6.927012012
tau.864,6.557847559
tau.865,12.03538989915
tau.866,5.7995433935
tau.867,4.9960591775
tau.868,2.253097407
tau.869,16.011428038
tau.870,6.6879454265
tau.871,8.149760364
tau.872,7.569711682
tau.873,6.093778803
tau.874,5.7738465455
tau.875,7.241608998
tau.876,13.3907407723
tau.877,8.404952842
tau.878,11.4218681185
tau.879,11.177884625
tau.880,2.55697802535
tau.881,14.74795395
tau.882,9.477596605
tau.883,5.751138582
tau.884,16.740642615
tau.885,6.3106319495
tau.886,5.004890863
tau.887,13.032335205
tau.888,16.015092215
tau.889,2.22440230005
tau.890,11.024532675
tau.891,8.757220552
tau.892,6.871254193
tau.893,4.9117131186
tau.894,10.858533395
tau.895,13.480380825
tau.896,7.6461874875
tau.897,13.2020227695
tau.898,2.44643804555
tau.899,7.171792825
tau.900,12.5854405224
tau.901,16.379939665
tau.902,12.428931682
tau.903,5.334456998
tau.904,12.94354872
tau.905,10.044434302
tau.906,2.34071977205
tau.907,17.901097035
tau.908,11.563738242
tau.909,17.86898444
tau.910,10.770263515
tau.911,4.9963700755
tau.912,11.2385385115
tau.913,21.87641082
tau.914,8.2364661725
tau.915,19.89054931
tau.916,11.828440971
tau.917,4.71059086515
tau.918,4.79126463
tau.919,3.1533253655
tau.920,7.9774683765
tau.921,5.4443222335
tau.922,25.829155685
tau.923,12.647271435
tau.924,18.94745781
tau.925,8.9725241045
tau.926,7.9780859155
tau.927,16.87681547
tau.928,4.1885161082
tau.929,12.87915002725
tau.930,15.416240905
tau.931,9.333910695
tau.932,25.775467536
tau.933,7.4911438585
tau.934,7.20474323
tau.935,7.722327048
tau.936,12.3644079604
tau.937,10.07523418
tau.938,10.4351351
tau.939,18.9935810545
tau.940,4.0144440695
tau.941,5.27557747
tau.942,19.43964673
tau.943,10.806140585
tau.944,2.4802224843
tau.945,3.76913419045
tau.946,10.03598232
tau.947,16.15806777
tau.948,9.533402989
tau.949,19.70388188
tau.950,13.021485705
tau.951,18.969489235
tau.952,5.5502709985
tau.953,12.084906785
tau.954,33.7366464
tau.955,16.2465819
tau.956,12.28812713
tau.957,5.2619989358
tau.958,6.325067515
tau.959,8.0393668
tau.960,11.295100255
tau.961,12.8126468645
tau.962,11.141875965
theta.1,3.848698846
theta.2,2.7576690455
theta.3,3.452983315
theta.4,2.2592270745
theta.5,3.348825045
theta.6,2.6425252895
theta.7,4.06296691
theta.8,4.21931014
